"nome";"idade";"cpf";"rg";"data_nasc";"sexo";"signo";"mae";"pai";"email";"senha";"cep";"endereco";"numero";"bairro";"cidade";"estado";"telefone_fixo";"celular";"altura";"peso";"tipo_sanguineo";"cor"
"Caleb Eduardo Diego da Rosa";35;"151.527.372-56";"23.264.891-8";"24/01/1988";"Masculino";"Aquário";"Débora Julia";"Bruno César Manuel da Rosa";"caleb_darosa@live.ca";"WlB9U6JsAU";"59670-970";"Rua João Francisco 100";415;"Centro";"Upanema";"RN";"(84) 2716-0934";"(84) 99219-7757";"1,67";58;"AB+";"vermelho"
"Tomás Iago Mateus Rocha";48;"960.523.873-00";"10.168.974-3";"13/02/1975";"Masculino";"Aquário";"Rayssa Rafaela Nair";"Martin Davi Rocha";"tomasiagorocha@iahoo.com";"Ibw8So7sGR";"66120-750";"Passagem Santa Rosa";867;"Sacramenta";"Belém";"PA";"(91) 2926-4460";"(91) 99594-5576";"1,76";103;"AB-";"preto"
"Caio Bruno Juan Aparício";39;"405.612.770-01";"19.648.248-3";"27/05/1984";"Masculino";"Gêmeos";"Manuela Tânia Vanessa";"Theo Daniel Aparício";"caio_bruno_aparicio@myself.com";"Bo7DHxPMmq";"60336-340";"Vila Simone Lima";787;"Floresta";"Fortaleza";"CE";"(85) 3587-5457";"(85) 98124-4392";"1,71";70;"B-";"verde"
"Evelyn Daniela Caroline Santos";73;"267.315.548-12";"50.215.700-8";"08/05/1950";"Feminino";"Touro";"Milena Alícia Maitê";"Matheus Noah Santos";"evelyn_daniela_santos@companyvivo.com.br";"5T6OAr63M7";"60442-080";"Vila Lourdes";495;"Demócrito Rocha";"Fortaleza";"CE";"(85) 3958-1829";"(85) 98777-4931";"1,70";66;"O-";"azul"
"Allana Andreia Francisca da Mata";75;"369.821.380-03";"49.249.401-0";"16/05/1948";"Feminino";"Touro";"Bárbara Andreia Pietra";"Raimundo Luís Elias da Mata";"allana_andreia_damata@hotmail.co.jp";"il6UO52j9N";"03654-100";"Rua Doutor Eurico Martins";917;"Vila Granada";"São Paulo";"SP";"(11) 3725-6393";"(11) 99643-1754";"1,50";52;"AB+";"azul"
"Felipe Erick Lorenzo Baptista";25;"708.190.497-19";"41.083.559-6";"02/05/1998";"Masculino";"Touro";"Joana Flávia";"Tiago Victor Marcelo Baptista";"felipeerickbaptista@tatyanecolo.com";"ucKoksC0Ek";"65044-806";"Rua Reis";944;"Vila dos Nobres";"São Luís";"MA";"(98) 2543-2681";"(98) 98518-6588";"1,86";55;"O+";"verde"
"Cristiane Sônia Louise da Silva";32;"867.377.219-23";"10.875.304-9";"24/05/1991";"Feminino";"Gêmeos";"Analu Marli Nicole";"Fernando Nelson da Silva";"cristiane-dasilva71@unifesp.br";"uZ9XFxRwpa";"65072-010";"Rua Santo Antônio";605;"Calhau";"São Luís";"MA";"(98) 3745-1570";"(98) 98485-5112";"1,84";52;"AB-";"roxo"
"Sophia Andrea Nicole Rodrigues";60;"746.660.884-15";"41.947.599-0";"03/01/1963";"Feminino";"Capricórnio";"Lívia Regina Isabel";"Marcos Emanuel Martin Rodrigues";"sophiaandrearodrigues@trimempresas.com.br";"LjiXFn6Pk9";"45989-079";"Rua Chiquita Bacana";876;"Castelinho";"Teixeira de Freitas";"BA";"(73) 2626-7618";"(73) 98424-6047";"1,80";47;"B-";"azul"
"Marlene Adriana Sônia Aragão";54;"792.080.657-74";"20.160.745-1";"17/02/1969";"Feminino";"Aquário";"Rayssa Jennifer";"Thales Anthony Ruan Aragão";"marlene.adriana.aragao@casaarte.com.br";"MxcQbzMiJw";"64012-035";"Rua São Pedro";702;"Cidade Industrial";"Teresina";"PI";"(86) 3820-7941";"(86) 99316-5356";"1,51";61;"AB+";"laranja"
"Beatriz Giovana Lavínia das Neves";32;"901.090.756-25";"41.915.690-2";"21/04/1991";"Feminino";"Touro";"Vitória Melissa Lúcia";"Cláudio Severino Nicolas das Neves";"beatriz-dasneves80@deze7.com.br";"lJozkYFmSh";"79320-216";"Alameda Particular";628;"Aeroporto";"Corumbá";"MS";"(67) 2965-4556";"(67) 98420-2393";"1,61";48;"AB-";"roxo"
